name	location	gs_pubs	gs_hindex	gs_i10index	gs_citations
Gail-Joon Ahn	Arizona State University	253	39	94	5704
Robert K. Atkinson	Arizona State University	72	21	28	3255
Chitta Baral	Arizona State University	302	34	86	6253
Rida A. Bazzi	Arizona State University	61	16	23	821
Winslow S. Burleson	Arizona State University	124	22	36	2210
Yi Chen	Arizona State University	3000	67	643	26755
Hasan Davulcu	Arizona State University	107	18	25	1304
Sandeep K. S. Gupta	Arizona State University	296	46	118	7101
Dijiang Huang	Arizona State University	224	27	54	2343
Subbarao Kambhampati	Arizona State University	323	43	135	6854
Joohyung Lee	Arizona State University	70	20	32	1680
Brian C. Nelson	Arizona State University	72	19	26	1512
Hessam S. Sarjoughian	Arizona State University	187	24	65	1978
Aviral Shrivastava	Arizona State University	136	20	47	1226
Kurt A. VanLehn	Arizona State University	315	55	150	13807
Yalin Wang	Arizona State University	2971	42	385	16014
Jieping Ye	Arizona State University	225	47	115	7158
Yong Chen	Texas Tech University	125	17	25	902
Larry Don Pyeatt	Texas Tech University	51	9	9	653
Akbar Siami-Namin	Texas Tech University	38	7	6	440
Mohan Sridharan	Texas Tech University	110	13	18	754
Sanjeev Baskiyar	Auburn University	39	9	9	307
James Cross	Auburn University	62	14	17	2750
Munawar Hafiz	Auburn University	48	14	15	463
Wei-Shinn Ku	Auburn University	110	21	43	1336
Xiao Qin	Auburn University	708	30	120	4058
Levent Yilmaz	Auburn University	279	16	32	1031
Weikuan Yu	Auburn University	240	21	43	2098
Yury Makarychev	Toyota Technological Institute at Chicago	44	17	25	990
Gregory Shakhnarovich	Toyota Technological Institute at Chicago	61	22	25	3459
Madhur Tulsiani	Toyota Technological Institute at Chicago	40	14	17	722
Jinbo Xu	Toyota Technological Institute at Chicago	130	25	45	2367
Jonathan Appavoo	Boston University	66	19	25	1552
Azer Bestavros	Boston University	358	50	132	15380
John Byers	Boston University	149	39	61	9124
Mark E. Crovella	Boston University	207	58	102	21879
Sharon Goldberg	Boston University	38	14	16	567
George Kollios	Boston University	130	38	58	6489
Ibrahim Matta	Boston University	229	35	77	6581
Leonid Reyzin	Boston University	89	29	47	5084
Stan Sclaroff	Boston University	246	53	114	13307
Hongwei Xi	Boston University	114	23	33	2550
Norman Ramsey	Tufts University	106	20	36	1883
Benjamin Hescott	Tufts University	18	6	1	72
Remco Chang	Tufts University	111	19	24	1048
Lenore Jennifer Cowen	Tufts University	95	22	38	1843
Samuel Z. Guyer	Tufts University	66	17	23	1802
Soha Hassoun	Tufts University	90	16	28	1658
Pengyu Hong	Brandeis University	69	19	29	1654
Olga Papaemmanouil	Brandeis University	32	10	10	392
Nianwen Xue	Brandeis University	106	23	36	2984
Jason Cong	UCLA	142	64	113	11415
Milos Ercegovac	UCLA	320	35	102	5576
Eleazar Eskin	UCLA	228	52	108	14767
Deborah Estrin	UCLA	678	112	301	93147
Richard Korf	UCLA	179	45	89	9029
Songwu Lu	UCLA	1062	61	237	22993
Rupak Majumdar	UCLA	286	47	102	8991
Adam Meyerson	UCLA	91	27	43	4769
Glenn Reinman	UCLA	120	27	55	2406
Majid Sarrafzadeh	UCLA	616	52	210	10038
Stefano Soatto	UCLA	327	55	136	11955
Zhuowen Tu	UCLA	86	36	62	6087
Jennifer Vaughan	UCLA	50	21	29	1516
Song Chun Zhu	UCLA	196	46	108	11377
Michael A. Goodrich	Brigham Young University	214	35	82	5298
Charles D. Knutson	Brigham Young University	99	13	21	696
Thomas W. Sederberg	Brigham Young University	150	46	82	10567
Quinn Snell	Brigham Young University	111	15	22	1459
Daniel M. A. Zappala	Brigham Young University	63	21	25	3655
Bjorn Hartmann	UC Berkeley	111	28	47	3275
David Culler	UC Berkeley	474	111	251	76230
David Wagner	UC Berkeley	271	70	154	30232
Dawn Song	UC Berkeley	285	75	167	29997
George Necula	UC Berkeley	109	35	52	9539
Jitendra Malik	UC Berkeley	380	89	189	70437
John Kubiatowicz	UC Berkeley	176	51	91	21104
John Canny	UC Berkeley	299	65	156	38994
Katherine Yelick	UC Berkeley	295	49	127	12981
Ken Goldberg	UC Berkeley	390	49	160	9707
Lior Pachter	UC Berkeley	158	50	101	32976
Michael Jordan	UC Berkeley	753	123	374	89780
Pieter Abbeel	UC Berkeley	217	34	64	5193
Randy Katz	UC Berkeley	582	104	273	56209
Rastislav Bodik	UC Berkeley	143	34	49	7098
Ravi Ramamoorthi	UC Berkeley	141	42	78	6649
Amy Greenwald	Brown University	129	26	41	2616
Maurice Herlihy	Brown University	361	56	151	19843
Shriram Krishnamurthi	Brown University	273	43	88	6154
David H. Laidlaw	Brown University	310	42	94	6776
Anna Lysyanskaya	Brown University	85	33	48	6722
Ben Raphael	Brown University	114	29	53	7159
Steven Reiss	Brown University	111	42	74	11609
Erik Sudderth	Brown University	85	25	40	3174
Roberto Tamassia	Brown University	437	62	208	29039
Nina Amenta	UC Davis	94	30	47	6396
Matthew Bishop	UC Davis	363	38	111	8405
Hao Chen	UC Davis	3000	40	430	17244
Raissa D'Souza	UC Davis	71	20	34	1756
Matthew Franklin	UC Davis	135	37	69	14166
Dipak Ghosal	UC Davis	194	26	65	6703
Todd J. Green	UC Davis	57	21	29	2214
Daniel M. Gusfield	UC Davis	184	41	82	11715
Bernd Hamann	UC Davis	492	45	142	7549
Prasant Mohapatra	UC Davis	419	45	155	8300
Biswanath Mukherjee	UC Davis	787	79	303	37777
Phillip W. Rogaway	UC Davis	207	63	105	23422
Zhendong Su	UC Davis	113	34	55	4935
Ilias Tagkopoulos	UC Davis	50	11	12	494
S. Felix Wu	UC Davis	206	38	81	4410
Jonathan Aldrich	Carnegie Mellon University	191	30	54	3776
David G. Andersen	Carnegie Mellon University	145	38	72	8646
John Anderson	Carnegie Mellon University	3000	129	638	116807
Randal Bryant	Carnegie Mellon University	312	51	121	23065
Albert Corbett	Carnegie Mellon University	138	44	80	9003
Alexei Efros	Carnegie Mellon University	96	42	58	15406
Christos Faloutsos	Carnegie Mellon University	775	101	351	54972
Jodi Forlizzi	Carnegie Mellon University	210	45	101	8234
Venkatesan Guruswami	Carnegie Mellon University	229	36	103	5746
Jason Hong	Carnegie Mellon University	246	55	102	12475
Bonnie John	Carnegie Mellon University	200	41	95	6283
Matthew Kam	Carnegie Mellon University	62	17	21	1265
Robert Kass	Carnegie Mellon University	232	43	95	17870
Aniket Kittur	Carnegie Mellon University	83	27	40	4761
Roberta Klatzky	Carnegie Mellon University	424	68	198	16027
Robert Kraut	Carnegie Mellon University	288	87	182	30749
Tai-Sing Lee	Carnegie Mellon University	117	24	40	6719
Jennifer Mankoff	Carnegie Mellon University	150	35	75	4622
Tom Mitchell	Carnegie Mellon University	392	69	160	32099
Todd Mowry	Carnegie Mellon University	144	39	73	6772
Robert Murphy	Carnegie Mellon University	296	47	129	12940
Onur Mutlu	Carnegie Mellon University	248	45	115	8098
Ryan O'Donnell	Carnegie Mellon University	91	30	46	2665
Eric Paulos	Carnegie Mellon University	125	28	56	3058
Carolyn Rose	Carnegie Mellon University	317	35	109	5097
Tuomas Sandholm	Carnegie Mellon University	396	67	185	17329
Srinivasan Seshan	Carnegie Mellon University	212	57	105	16660
Mary Shaw	Carnegie Mellon University	344	49	108	16958
Noah Smith	Carnegie Mellon University	207	45	111	7031
Maria Veloso	Carnegie Mellon University	764	69	313	22368
Elaheh Bozorgzadeh	UC Irvine	8	6	4	120
Nikil Dutt	UC Irvine	671	56	249	13557
Charless Fowlkes	UC Irvine	96	34	45	9821
Michael Goodrich	UC Irvine	356	55	166	10059
Alexander Ihler	UC Irvine	98	23	41	2974
Stanislaw Jarecki	UC Irvine	69	30	45	4186
Aditi Majumder	UC Irvine	115	23	38	1752
Gopi Meenakshisundaram	UC Irvine	78	18	25	1145
Eric Mjolsness	UC Irvine	224	34	71	7209
Padhraic Smyth	UC Irvine	363	66	157	33505
Harry Xu	UC Irvine	41	17	22	738
Robert Haralick	CUNY Graduate Center	777	66	285	45647
Neal E. Young	UC Riverside	72	33	45	3867
Frank N. Vahid	UC Riverside	255	49	129	7892
Vassilis J. Tsotras	UC Riverside	213	42	71	5715
Tamar T. Shinar	UC Riverside	15	7	7	534
Christian R. Shelton	UC Riverside	72	24	36	2120
Stefano Lonardi	UC Riverside	115	34	70	7423
Eamonn Keogh	UC Riverside	262	67	132	19526
Tao Jiang	UC Riverside	3118	82	731	36762
Vagelis Hristidis	UC Riverside	109	29	45	4919
Rajiv Gupta	UC Riverside	282	52	176	9435
Michalis Faloutsos	UC Riverside	244	52	115	15865
Gianfranco Ciardo	UC Riverside	158	42	87	6265
Philip Brisk	UC Riverside	128	18	36	1178
Tracey Ho	California Institute of Technology	176	33	71	8009
Andreas Krause	California Institute of Technology	145	43	77	7314
Katrina Ligett	California Institute of Technology	44	13	17	1122
Peter Schroder	California Institute of Technology	122	56	87	17251
Chris Umans	California Institute of Technology	55	22	32	1925
Adam Wierman	California Institute of Technology	78	29	50	2958
Erik Winfree	California Institute of Technology	95	49	75	12738
Kamalika Chaudhuri	UC San Diego	47	21	27	1830
Garrison Cottrell	UC San Diego	244	45	105	10439
William Griswold	UC San Diego	221	39	97	12818
Ryan Kastner	UC San Diego	221	29	83	3375
David Kriegman	UC San Diego	241	53	124	29478
Daniele Micciancio	UC San Diego	80	38	51	6435
Yannis Papakonstantinou	UC San Diego	165	47	68	12629
Michael Taylor	UC San Diego	70	22	30	4018
Amin Vahdat	UC San Diego	318	71	149	24558
Samuel Buss	UC San Diego	125	34	73	4684
Sonia Chiasson	Carleton University	70	18	24	1945
Michel Dumontier	Carleton University	167	26	51	2342
Pat Morin	Carleton University	159	26	46	4067
Anil Somayaji	Carleton University	59	19	26	6733
Divyakant Agrawal	UC Santa Barbara	594	68	245	16406
Tevfik Bultan	UC Santa Barbara	165	36	78	4548
Peter Cappello	UC Santa Barbara	123	25	42	2114
John Gilbert	UC Santa Barbara	152	43	77	6955
Teofilo Gonzalez	UC Santa Barbara	156	21	36	5027
Tobias Hollerer	UC Santa Barbara	258	36	85	5567
Yuan-Fang Wang	UC Santa Barbara	3000	33	585	18649
Xifeng Yan	UC Santa Barbara	3000	44	244	16810
Ben Y. Zhao	UC Santa Barbara	342	51	107	20125
Heather Zheng	UC Santa Barbara	308	41	107	7160
Michael Branicky	Case Western Reserve University	129	37	70	13494
Mehmet Koyuturk	Case Western Reserve University	70	21	31	1709
Michael Lewicki	Case Western Reserve University	80	27	36	6264
Scott A. Brandt	UC Santa Cruz	215	38	81	5518
James Davis	UC Santa Cruz	102	30	47	7504
Luca de Alfaro	UC Santa Cruz	141	41	73	7465
Cormac Flanagan	UC Santa Cruz	142	44	82	8834
Darrell Long	UC Santa Cruz	294	46	135	9497
Ethan L. Miller	UC Santa Cruz	269	40	99	6728
Neoklis Polyzotis	UC Santa Cruz	112	28	59	2632
Wang-Chiew Tan	UC Santa Cruz	107	35	53	6262
Erion Plaku	Catholic University of America	59	17	19	948
Pedro Felzenszwalb	University of Chicago	56	28	32	14714
John Goldsmith	University of Chicago	165	33	62	8755
Gordon Kindlmann	University of Chicago	92	34	48	5118
Imre Kondor	University of Chicago	80	22	38	2024
Anne Rogers	University of Chicago	60	22	30	2282
L. Ridgway Scott	University of Chicago	263	43	88	12780
Samir Chatterjee	Claremont Graduate University	133	18	27	2889
Gondy Leroy	Claremont Graduate University	140	19	31	1427
Lorne Olfman	Claremont Graduate University	184	31	66	4045
Eyal Amir	University of Illinois, Urbana Champaign	130	24	47	2109
Brian Bailey	University of Illinois, Urbana Champaign	145	33	54	3863
Matthew Caesar	University of Illinois, Urbana Champaign	133	24	40	3708
Jeff Erickson	University of Illinois, Urbana Champaign	101	31	52	3508
William Gropp	University of Illinois, Urbana Champaign	562	63	216	30617
Indranil Gupta	University of Illinois, Urbana Champaign	196	31	65	3631
Anil Hirani	University of Illinois, Urbana Champaign	46	16	23	1626
Laxmikant Kale	University of Illinois, Urbana Champaign	488	47	192	17717
Darko Marinov	University of Illinois, Urbana Champaign	141	30	66	4694
Dan Roth	University of Illinois, Urbana Champaign	408	55	180	13575
Marianne Winslett	University of Illinois, Urbana Champaign	346	43	111	7094
Christino Tamon	Clarkson University	67	16	23	871
Emery Berger	University of Massachusetts, Amherst	65	26	33	2906
Oliver Brock	University of Massachusetts, Amherst	204	29	46	3116
Yanlei Diao	University of Massachusetts, Amherst	70	24	33	3969
Kevin Fu	University of Massachusetts, Amherst	104	26	44	4518
James Kurosep	University of Massachusetts, Amherst	581	85	241	34111
Erik Learned-Miller	University of Massachusetts, Amherst	112	29	58	4596
Brian Levine	University of Massachusetts, Amherst	114	46	70	13393
Sridhar Mahadevan	University of Massachusetts, Amherst	174	36	81	5824
Gerome Miklau	University of Massachusetts, Amherst	65	22	29	3760
Hava Siegelmann	University of Massachusetts, Amherst	186	25	55	5066
Yannis Smaragdakis	University of Massachusetts, Amherst	186	33	64	4596
Arun Venkataramani	University of Massachusetts, Amherst	84	30	38	6407
Shlomo Zilberstein	University of Massachusetts, Amherst	255	43	107	7898
Sabarish V. Babu	Clemson University	57	11	11	377
Juan E.  Gilbert	Clemson University	180	13	20	850
Mark Smotherman	Clemson University	51	16	20	923
Damon L. Woodard	Clemson University	49	17	22	970
Bo Sheng	University of Massachusetts, Boston	59	21	26	1684
Qun Li	College of William and Mary	114	36	54	5103
Denys Poshyvanyk	College of William and Mary	146	35	73	3868
Xipeng Shen	College of William and Mary	741	28	75	4221
Andreas Stathopoulos	College of William and Mary	73	17	23	1271
Gang Zhou	College of William and Mary	53	24	35	4695
Fred G. Martin	University of Massachusetts, Lowell	113	26	40	3011
Guanling Chen	University of Massachusetts, Lowell	46	21	29	4039
Georges G. Grinstein	University of Massachusetts, Lowell	237	29	63	4015
Haim Levkowitz	University of Massachusetts, Lowell	109	19	25	2046
Benyuan Liu	University of Massachusetts, Lowell	128	26	43	3938
Kenneth M. Anderson	University of Colorado, Boulder	213	29	59	3464
Elizabeth Bradley	University of Colorado, Boulder	165	16	28	1005
Bor-Yuh Evan Chang	University of Colorado, Boulder	61	14	19	1299
Aaron Clauset	University of Colorado, Boulder	69	22	31	9961
Debra S. Goldberg	University of Colorado, Boulder	41	13	16	8145
Dirk C. Grunwald	University of Colorado, Boulder	340	50	117	10601
Richard Y. Han	University of Colorado, Boulder	155	38	65	7828
Qin (Christine) Lv	University of Colorado, Boulder	78	16	22	3750
James H. Martin	University of Colorado, Boulder	135	33	63	9848
Leysia A. Palen	University of Colorado, Boulder	113	43	62	8561
Sriram Sankaranarayanan	University of Colorado, Boulder	125	27	51	2360
Katie A. Siek	University of Colorado, Boulder	90	16	22	751
Prasun Dewan	University of North Carolina, Chapel Hill	149	27	50	3010
Jasleen Kaur	University of North Carolina, Chapel Hill	29	12	13	487
Svetlana Lazebnik	University of North Carolina, Chapel Hill	74	30	47	11427
Marc Niethammer	University of North Carolina, Chapel Hill	159	26	59	2285
Jan Prins	University of North Carolina, Chapel Hill	153	35	67	6406
Wei Wang	University of North Carolina, Chapel Hill	3000	46	317	16742
Tracy Camp	Colorado School of Mines	133	26	42	9902
Qi Han	Colorado School of Mines	282	18	38	1548
Zizhong Chen	Colorado School of Mines	2482	43	307	11313
Andrzej Szymczak	Colorado School of Mines	55	21	33	1480
Srinivas Akella	University of North Carolina, Charlotte	72	20	27	1409
Jamie Payton	University of North Carolina, Charlotte	69	13	16	460
Min C. Shin	University of North Carolina, Charlotte	17	12	13	882
Richard Souvenir	University of North Carolina, Charlotte	51	11	12	486
Wensheng Wu	University of North Carolina, Charlotte	2713	39	251	9142
Jing Yang	University of North Carolina, Charlotte	46	19	27	1210
Charles W. Anderson	Colorado State University	223	33	61	5286
J. Ross Beveridge	Colorado State University	167	35	69	4558
Sudipto Ghosh	Colorado State University	167	29	51	3059
Yashwant K. Malaiya	Colorado State University	232	31	72	3518
Daniel F. Massey	Colorado State University	186	32	61	5337
Shrideep Pallickara	Colorado State University	181	22	55	2134
Christos Papadopoulos	Colorado State University	121	23	42	2966
Sanjay Rajopadhye	Colorado State University	197	25	69	2482
Michelle Mills Strout	Colorado State University	80	15	20	892
L. Darrell Whitley	Colorado State University	360	56	155	17866
Sudeep Pasricha	Colorado State University	131	22	40	1755
H. J. Siegel	Colorado State University	628	55	208	14571
Norman Badler	University of Pennsylvania	502	62	165	14859
Susan Davidson	University of Pennsylvania	208	42	83	7578
Jean Gallier	University of Pennsylvania	203	30	49	4901
Insup Lee	University of Pennsylvania	3000	51	431	16685
Boon Thau Loo	University of Pennsylvania	179	27	63	4956
Milo Martin	University of Pennsylvania	71	32	47	4872
Ani Nenkova	University of Pennsylvania	106	32	56	3491
Amir Roth	University of Pennsylvania	46	20	27	1726
Jianbo Shi	University of Pennsylvania	2368	35	74	26828
Ben Taskar	University of Pennsylvania	181	44	77	9869
Steve Zdancewic	University of Pennsylvania	117	36	51	4007
Peter Belhumeur	Columbia University	164	53	80	24122
Shih-Fu Chang	Columbia University	782	87	362	33165
Michael Collins	Columbia University	77	47	65	15797
Luis Gravano	Columbia University	125	49	84	10830
Tony Jebara	Columbia University	180	38	66	6905
Gail Kaiser	Columbia University	412	46	141	8056
Angelos Keromytis	Columbia University	428	55	156	11963
Tal Malkin	Columbia University	85	34	47	3788
Kathleen McKeown	Columbia University	37	0	0	0
Vishal Misra	Columbia University	172	41	76	9635
Shree Nayar	Columbia University	382	98	215	32213
Steven Nowick	Columbia University	131	35	69	3839
Junfeng Yang	Columbia University	46	19	23	1993
Vassilis Athitsos	University of Texas, Arlington	123	31	51	4437
Christoph Csallner	University of Texas, Arlington	43	13	16	1167
Sajal K. Das	University of Texas, Arlington	1110	68	329	18998
Gautam Das	University of Texas, Arlington	278	43	98	7789
Junzhou Huang	University of Texas, Arlington	100	23	34	2372
Jeff (Yu) Lei	University of Texas, Arlington	83	22	37	2071
Chengkai Li	University of Texas, Arlington	61	16	21	1442
Matthew Wright	University of Texas, Arlington	77	14	24	1820
Thomas Fevens	Concordia University, Montreal	76	15	26	757
Leila Kosseim	Concordia University, Montreal	102	15	23	742
Juergen Rilling	Concordia University, Montreal	124	20	44	1296
Lorenzo Alvisi	University of Texas, Austin	167	40	70	8113
Chandrajit Bajaj	University of Texas, Austin	591	60	201	12923
Dana Ballard	University of Texas, Austin	393	59	147	28596
William Cook	University of Texas, Austin	120	30	41	5565
Inderjit Dhillon	University of Texas, Austin	268	55	118	16948
Mohamed Gouda	University of Texas, Austin	381	48	127	9931
Kristen Grauman	University of Texas, Austin	149	45	73	7591
Simon S. Lam	University of Texas, Austin	226	48	122	10891
Risto Miikkulainen	University of Texas, Austin	425	53	178	12304
Raymond Mooney	University of Texas, Austin	336	68	186	21527
Gordon Novak	University of Texas, Austin	82	15	16	669
William Press	University of Texas, Austin	424	67	174	143212
Vijaya Ramachandran	University of Texas, Austin	184	36	82	4799
Peter Stone	University of Texas, Austin	545	62	240	14715
Robert Van de Geijn	University of Texas, Austin	287	47	105	6685
Brent Waters	University of Texas, Austin	132	57	95	20694
Yin Zhang	University of Texas, Austin	3000	59	498	24489
David Zuckerman	University of Texas, Austin	58	31	47	4991
Jun-Hong Cui	University of Connecticut	1139	47	179	9155
Steven Demurjian	University of Connecticut	162	18	40	1161
Robert McCartney	University of Connecticut	167	20	35	1549
Ion Mandoiu	University of Connecticut	174	23	45	1825
Laurent Michel	University of Connecticut	185	25	56	2952
Sanguthevar Rajasekaran	University of Connecticut	449	31	93	4339
Alexander Russell	University of Connecticut	187	26	61	2473
Kendra M. L. Cooper	University of Texas, Dallas	157	17	31	1137
Vibhav Gogate	University of Texas, Dallas	58	15	18	758
Xiaohu Guo	University of Texas, Dallas	22	5	5	134
Gopal Gupta	University of Texas, Dallas	273	27	76	2697
Sanda Maria Harabagiu	University of Texas, Dallas	179	38	82	5538
Murat Kantarcioglu	University of Texas, Dallas	231	35	73	5160
Latifur Khan	University of Texas, Dallas	330	35	96	4300
Zhiqiang Lin	University of Texas, Dallas	59	14	20	921
Yang Liu	University of Texas, Dallas	563	37	168	6088
Vincent Ng	University of Texas, Dallas	96	24	42	2869
Ravi Prakash	University of Texas, Dallas	262	35	76	7257
Yuke Wang	University of Texas, Dallas	3000	88	1421	60103
David Bindel	Cornell University	79	18	25	3929
Claire Cardie	Cornell University	179	45	90	10243
Dan Cosley	Cornell University	91	29	45	4889
Eric Friedman	Cornell University	110	24	36	7544
W. Kent Fuchs	Cornell University	248	39	99	4826
Francois Guimbretiere	Cornell University	77	27	38	3448
Doug James	Cornell University	56	28	39	3783
Hadas Kress-Gazit	Cornell University	58	16	23	1300
Steve Marschner	Cornell University	89	26	44	5237
Fred Schneider	Cornell University	388	57	114	17889
Phoebe Sengers	Cornell University	113	32	58	4299
Adam Siepel	Cornell University	115	41	69	16020
Christopher Kiekintveld	University of Texas, El Paso	95	23	34	1764
J. Blustein	Dalhousie University	59	10	10	345
Kirstie Hawkey	Dalhousie University	112	21	36	1142
Meng He	Dalhousie University	31	10	10	421
Andrew Rau-Chaplin	Dalhousie University	150	21	41	1593
Anatoliy Gruzd	Dalhousie University	81	14	18	898
Raymond Klein	Dalhousie University	408	56	168	14887
Peter Selinger	Dalhousie University	58	21	31	1780
Rajendra V. Boppana	University of Texas, San Antonio	97	21	38	2373
Tom Bylander	University of Texas, San Antonio	75	23	37	3011
Daniel A. Jimenez	University of Texas, San Antonio	82	18	29	1604
Turgay Korkmaz	University of Texas, San Antonio	92	18	24	1956
Jianwei Niu	University of Texas, San Antonio	34	12	15	532
John P. Quarles	University of Texas, San Antonio	59	8	7	139
Steven Robbins	University of Texas, San Antonio	61	11	14	415
Jianhua Ruan	University of Texas, San Antonio	83	16	21	1431
Ravi Sandhu	University of Texas, San Antonio	500	69	206	30369
Qi Tian	University of Texas, San Antonio	383	36	113	4949
Ali Saman Tosun	University of Texas, San Antonio	59	13	16	696
Jeffery von Ronne	University of Texas, San Antonio	37	9	9	435
Qing Yi	University of Texas, San Antonio	57	16	18	631
Weining Zhang	University of Texas, San Antonio	3000	36	269	11117
Dakai Zhu	University of Texas, San Antonio	70	20	33	1869
Amit Chakrabarti	Dartmouth College	58	20	25	1430
Hany Farid	Dartmouth College	148	47	86	9508
Gevorg Grigoryan	Dartmouth College	45	16	19	914
Prasad Jayanti	Dartmouth College	56	16	20	842
David F. Kotz	Dartmouth College	284	61	141	14974
Lorenzo Torresani	Dartmouth College	62	20	26	2179
James Cohoon	University of Virginia	156	24	42	2706
David Evans	University of Virginia	105	33	57	7266
Sudhanva Gurumurthi	University of Virginia	96	22	35	2123
Marty Humphrey	University of Virginia	169	36	80	4303
Jason Lawrence	University of Virginia	44	20	23	1118
Mary Lou Soffa	University of Virginia	255	47	125	8316
Gabriel Robins	University of Virginia	167	38	71	5635
Kevin Skadron	University of Virginia	303	54	130	12421
Sang Son	University of Virginia	506	49	171	10862
Westley Weimer	University of Virginia	101	34	59	8010
Kamin Whitehouse	University of Virginia	125	32	45	5306
Peter Mark Hastings	DePaul University	88	24	33	2646
Ljubomir Perkovic	DePaul University	45	11	13	433
Alexander Rasin	DePaul University	12	7	7	155
James Riely	DePaul University	64	17	25	1724
Marcus Schaefer	DePaul University	73	18	28	970
Adam Steele	DePaul University	41	7	6	134
Aditya Akell	University of Wisconsin, Madison	182	34	62	5274
Andrea Arpaci-Dusseau	University of Wisconsin, Madison	172	44	80	7721
Remzi Arpaci-Dusseau	University of Wisconsin, Madison	206	44	83	7903
Suman Banerjee	University of Wisconsin, Madison	39	7	6	257
Paul Barford	University of Wisconsin, Madison	155	36	76	9003
Jin-Yi Cai	University of Wisconsin, Madison	315	36	103	4682
Shuchi Chawla	University of Wisconsin, Madison	74	24	29	3298
AnHai Doan	University of Wisconsin, Madison	143	46	77	9901
Charles Dyer	University of Wisconsin, Madison	287	44	94	10072
Michael Gleicher	University of Wisconsin, Madison	168	42	79	9342
Somesh Jha	University of Wisconsin, Madison	457	63	170	18492
Bilge Mutlu	University of Wisconsin, Madison	97	20	31	1435
Ben Recht	University of Wisconsin, Madison	83	34	48	7537
Thomas Reps	University of Wisconsin, Madison	337	68	155	17901
Tom Ristenpart	University of Wisconsin, Madison	57	23	34	3142
Karthikeyan Sankaralingam	University of Wisconsin, Madison	120	27	43	3299
Jude Shavlik	University of Wisconsin, Madison	360	47	122	9916
Michael Swift	University of Wisconsin, Madison	38	16	18	845
Li Zhang	University of Wisconsin, Madison	3000	52	501	22396
Xiaojin Zhu	University of Wisconsin, Madison	409	38	79	10470
Rachel Greenstadt	Drexel University	73	16	21	816
Spiros Mancoridis	Drexel University	118	23	41	2741
Dario D. Salvucci	Drexel University	110	34	53	4796
Giuseppe (Peppo) Valetto	Drexel University	84	19	29	1123
Moshe Kam	Drexel University	272	24	60	2807
Letha Etzkorn	University of Alabama, Huntsville	105	23	39	2560
Owen Astrachan	Duke University	95	18	29	1102
Vincent Conitzer	Duke University	235	43	105	6149
Alvin Labeck	Duke University	113	34	56	5458
Ronald Parr	Duke University	77	35	45	5975
John Reif	Duke University	518	65	210	17450
Susan Rodger	Duke University	87	23	30	1842
Carlo Tomasi	Duke University	180	45	87	27520
Jeffrey Carver	University of Alabama, Tuscaloosa	169	24	48	2349
Nicholas A. Kraft	University of Alabama, Tuscaloosa	60	14	18	635
Allen Parrish	University of Alabama, Tuscaloosa	97	12	14	627
Eugene Syriani	University of Alabama, Tuscaloosa	59	13	15	418
Yang Xiao	University of Alabama, Tuscaloosa	618	56	236	12942
Mihaela Cardei	Florida Atlantic University	91	29	45	5347
Hari Kalva	Florida Atlantic University	220	26	57	1886
Oge Marques	Florida Atlantic University	162	19	35	1403
Hanqi Zhuang	Florida Atlantic University	199	30	54	3320
Denilson Barbosa	University of Alberta	71	17	24	1070
Anup Basu	University of Alberta	271	25	77	2842
Michael Bowling	University of Alberta	131	37	74	4090
Vadim Bulitko	University of Alberta	149	19	43	1356
Randy Goebel	University of Alberta	224	22	40	2514
Abram Hindle	University of Alberta	110	19	31	1087
Davood Rafiei	University of Alberta	40	13	14	1435
Nilanjan Ray	University of Alberta	90	18	29	1331
Mohammad Salavatipour	University of Alberta	66	18	28	1395
Jonathan Schaeffer	University of Alberta	401	51	160	8771
Dale Schuurmans	University of Alberta	235	38	85	5108
David Wishart	University of Alberta	360	75	201	31006
William Allen	Florida Institute of Technology	47	8	6	263
Philip K. Chan	Florida Institute of Technology	137	39	62	8725
Liam M. Mayron	Florida Institute of Technology	43	8	6	230
Scott Tilley	Florida Institute of Technology	225	28	63	3327
Gregory Andrews	University of Arizona	102	23	36	4749
John Hartman	University of Arizona	74	20	36	3215
John Kececioglu	University of Arizona	58	24	29	2941
Stephen Kobourov	University of Arizona	206	35	81	3504
David Lowenthal	University of Arizona	103	24	38	2136
Richard Snodgrass	University of Arizona	370	54	138	13332
Beichuan Zhang	University of Arizona	460	32	51	4355
Xudong He	Florida International University	3000	17	39	4022
Giri Narasimhan	Florida International University	184	24	52	2775
Peter J. Clarke	Florida International University	101	14	19	621
Tao Li	Florida International University	221	47	130	7861
Jason Liu	Florida International University	72	24	39	2154
Raju Rangaswami	Florida International University	62	19	32	1190
Bogdan Carbunar	Florida International University	100	19	30	1405
Jinpeng Wei	Florida International University	46	8	8	405
Ming Zhap	Florida International University	88	16	23	1281
Nilanjan Banerjee	University of Arkansas, Fayetteville	48	17	21	1260
Susan Gauch	University of Arkansas, Fayetteville	118	29	51	4439
Miaoqing Huang	University of Arkansas, Fayetteville	398	12	15	748
Dale R. Thompson	University of Arkansas, Fayetteville	54	9	8	305
Sudhir Aggarwal	Florida State University	102	18	30	1234
Theodore P. Baker	Florida State University	172	31	62	5610
Zhenhai Duan	Florida State University	60	18	27	1756
Xiuwen Liu	Florida State University	145	22	45	2361
Daniel Schwartz	Florida State University	9	9	9	363
Gary Tyson	Florida State University	121	25	43	2208
